time,x_est,y_est,z_est,vx_est,vy_est,vz_est,clock_bias,clock_drift
2024-05-12 14:00:00,-1410358838140.1912,4144158173731.001,4678101874508.638,-27982668.191557985,82223473.76852858,92817354.28691484,48936822360.52639,970968.6784287571
2024-05-12 14:30:00,-1460727640884.9956,4292160426514.3525,4845173112225.084,-27982668.19155798,82223473.76852857,92817354.28691483,50684565981.69815,970968.6784287571
2024-05-12 15:00:00,-1511096443629.8,4440162679297.704,5012244349941.53,-27982668.191557977,82223473.76852855,92817354.28691481,52432309602.86991,970968.6784287571
2024-05-12 15:30:00,-1561465246374.6045,4588164932081.056,5179315587657.977,-27982668.191557974,82223473.76852854,92817354.2869148,54180053224.04167,970968.6784287571
2024-05-12 16:00:00,-1611834049119.409,4736167184864.407,5346386825374.423,-27982668.19155797,82223473.76852852,92817354.28691478,55927796845.21343,970968.6784287571
2024-05-12 16:30:00,-1662202851864.2134,4884169437647.759,5513458063090.869,-27982668.191557966,82223473.7685285,92817354.28691477,57675540466.38519,970968.6784287571
2024-05-12 17:00:00,-1712571654609.0178,5032171690431.11,5680529300807.315,-27982668.191557962,82223473.76852849,92817354.28691475,59423284087.55695,970968.6784287571
2024-05-12 17:30:00,-1762940457353.8223,5180173943214.462,5847600538523.762,-27982668.19155796,82223473.76852848,92817354.28691474,61171027708.728714,970968.6784287571
2024-05-12 18:00:00,-1813309260098.6267,5328176195997.813,6014671776240.208,-27982668.191557955,82223473.76852848,92817354.28691472,62918771329.900475,970968.6784287571
2024-05-12 18:30:00,-1863678062843.4312,5476178448781.165,6181743013956.654,-27982668.19155795,82223473.76852848,92817354.2869147,64666514951.072235,970968.6784287571
2024-05-12 19:00:00,-1914046865588.2354,5624180701564.517,6348814251673.101,-27982668.191557948,82223473.76852848,92817354.2869147,66414258572.243996,970968.6784287571
2024-05-12 19:30:00,-1964415668333.0396,5772182954347.868,6515885489389.547,-27982668.191557944,82223473.76852848,92817354.2869147,68162002193.41576,970968.6784287571
2024-05-12 20:00:00,-2014784471077.8438,5920185207131.22,6682956727105.993,-27982668.19155794,82223473.76852848,92817354.2869147,69909745814.58752,970968.6784287571
2024-05-12 20:30:00,-2065153273822.648,6068187459914.571,6850027964822.439,-27982668.191557936,82223473.76852848,92817354.2869147,71657489435.7593,970968.6784287571
2024-05-12 21:00:00,-2115522076567.4521,6216189712697.923,7017099202538.886,-27982668.191557936,82223473.76852848,92817354.2869147,73405233056.93106,970968.6784287571
2024-05-12 21:30:00,-2165890879312.2563,6364191965481.274,7184170440255.332,-27982668.191557936,82223473.76852848,92817354.2869147,75152976678.10283,970968.6784287571
2024-05-12 22:00:00,-2216259682057.0605,6512194218264.626,7351241677971.778,-27982668.191557936,82223473.76852848,92817354.2869147,76900720299.2746,970968.6784287571
2024-05-12 22:30:00,-2266628484801.8647,6660196471047.978,7518312915688.225,-27982668.191557936,82223473.76852848,92817354.2869147,78648463920.44637,970968.6784287571
2024-05-12 23:00:00,-2316997287546.669,6808198723831.329,7685384153404.671,-27982668.191557936,82223473.76852848,92817354.2869147,80396207541.61813,970968.6784287571
2024-05-12 23:30:00,-2367366090291.473,6956200976614.681,7852455391121.117,-27982668.191557936,82223473.76852848,92817354.2869147,82143951162.7899,970968.6784287571
2024-05-13 00:00:00,-2417734893036.2773,7104203229398.032,8019526628837.563,-27982668.191557936,82223473.76852848,92817354.2869147,83891694783.96167,970968.6784287571
