time,x_est,y_est,z_est,vx_est,vy_est,vz_est
2024-05-12 00:00:00,1509.2621568299364,-4434.773036934901,-5006.156727541238,-16209.929140838518,53080.04831950639,-51961.6434990776
2024-05-12 00:30:00,-850.498046875,6441.078125,-2176.357421875,-1958.9442820549011,23429.838373184204,71637.42963027954
2024-05-12 01:00:00,-304.380615234375,-769.314453125,6786.193359375,906.5452044010162,-74801.68949890137,-8851.938712120056
2024-05-12 01:30:00,-511.6788330078125,-5831.04541015625,-3562.10546875,3294.111672639847,39342.75067901611,-64163.81163597107
2024-05-12 02:00:00,1562.57861328125,5458.5703125,-3837.7119140625,11512.576178789139,40181.699546813965,62665.20279407501
2024-05-12 02:30:00,111.75732421875,1130.49609375,6741.630859375,-27362.085459709167,-69216.98052406311,11598.338768959045
2024-05-12 03:00:00,-3142.624969482422,-5795.091796875,-1862.98046875,8888.068214088678,18885.388453006744,-72463.75726890564
2024-05-12 03:30:00,2850.4853515625,3410.52734375,-5217.24560546875,34958.473298072815,45027.831800460815,49115.49727201462
2024-05-12 04:00:00,1795.322265625,2254.5888671875,6200.794921875,-47477.0420665741,-49503.793650627136,31196.920917510986
2024-05-12 04:30:00,-5381.67822265625,-4235.2080078125,-27.41015625,-463.4461350440979,1600.3738660812378,-75438.77911186218
2024-05-12 05:00:00,2622.884765625,1218.6865234375,-6214.327964782715,58877.868185043335,34062.31395149231,32003.65150848031
2024-05-12 05:30:00,3981.076171875,1964.35888671875,5203.609375,-52698.40621471405,-23535.55867099762,48508.38987541199
2024-05-12 06:00:00,-6380.8251953125,-1694.9873046875,1809.8125,-19317.963611602783,-3827.679792404175,-72856.99216270447
2024-05-12 06:30:00,1141.017578125,-155.64794921875,-6757.11181640625,73377.52764892578,10080.412420749664,12585.368045330048
2024-05-12 07:00:00,5670.22705078125,232.54766845703125,3823.3125,-42564.71817111969,-1644.0387280583382,62256.33097267151
2024-05-12 07:30:00,-5806.255859375,875.156005859375,3513.4482421875,-38007.15322303772,6027.213454246521,-64904.337611198425
2024-05-12 08:00:00,-798.060546875,-120.672607421875,-6806.771484375,72362.68782806396,-18629.619726896286,-7735.716170310974
2024-05-12 08:30:00,6058.2373046875,-2343.050048828125,2161.48046875,-23079.54717683792,7786.497739672661,71420.18174743652
2024-05-12 09:00:00,-3979.90625,2522.45703125,4958.0234375,-46806.54669570923,27834.825771331787,-52173.84606361389
2024-05-12 09:30:00,-2203.2265625,1294.5283203125,-6359.921875,56096.296827316284,-41780.02492523193,-27497.866441726685
2024-05-12 10:00:00,4880.2158203125,-4792.87548828125,340.705078125,-4121.721451759338,1903.2263011932373,75318.28604888916
2024-05-12 10:30:00,-1740.03125,2696.837890625,6037.7703857421875,-40137.60973358154,52933.74833869934,-35607.49448156357
2024-05-12 11:00:00,-2314.3779296875,3453.5654296875,-5448.447265625,31081.042930603027,-51399.58592796326,-45285.634801864624
2024-05-12 11:30:00,2525.3037109375,-6188.2080078125,-1505.50390625,4821.45254611969,-15404.923154830933,73670.75352478027
2024-05-12 12:00:00,-82.904296875,1483.765625,6673.0673828125,-18973.141368865967,71033.27025604248,-16432.436526298523
2024-05-12 12:30:00,-926.6314392089844,5382.92822265625,-4137.9921875,7337.765127807856,-45183.555471897125,-59796.35168838501
2024-05-12 13:00:00,-128.17333984375,-6036.140625,-3241.833984375,-1266.5338594913483,-35211.86661529541,66608.61071014404
2024-05-12 13:30:00,264.5196228027344,-435.125,6817.32421875,9563.722546160221,74612.24998092651,3950.152407646179
2024-05-12 14:00:00,1517.333740234375,6186.1307373046875,-2523.51171875,-5830.657652020454,-27495.411435604095,-69949.04473495483
2024-05-12 14:30:00,-2086.115234375,-4489.376953125,-4740.1171875,-20769.338401317596,-47388.88879776001,54672.552686691284
2024-05-12 15:00:00,-845.33837890625,-2074.40234375,6459.783203125,35219.638770103455,62111.998500823975,24042.305238723755
2024-05-12 15:30:00,4112.10205078125,5429.39111328125,-723.6875,-3825.701157808304,-7511.663213729858,-74970.82677841187
2024-05-12 16:00:00,-2662.76953125,-2279.02734375,-5890.4677734375,-46129.34157562256,-44989.33674621582,38763.46111726761
2024-05-12 16:30:00,-2916.291015625,-2569.8828125,5627.01953125,48948.77678203583,38606.792552948,42369.9203453064
2024-05-12 17:00:00,5874.7119140625,3330.1259765625,1129.015625,11267.953595161438,4730.003999710083,-74474.96274375916
2024-05-12 17:30:00,-1770.376953125,-399.068359375,-6609.88671875,-67103.29216384888,-27222.108733177185,20055.625487804413
2024-05-12 18:00:00,-5021.71484375,-1550.6505126953125,4380.22265625,46751.12452220917,13643.714450955391,57586.4702796936
2024-05-12 18:30:00,6164.037109375,665.4814453125,2898.1171875,31576.060781478882,2660.80952167511,-68489.95122528076
2024-05-12 19:00:00,47.509765625,318.5615234375,-6846.8525390625,-75119.81892204285,228.69113397598267,-92.93321228027344
2024-05-12 19:30:00,-6201.317947387695,700.749755859375,2811.060546875,31360.633181601763,-2824.318282008171,68567.51770019531
2024-05-12 20:00:00,4953.4296875,-1558.30224609375,2.912109375,46832.88303756714,-13971.579788208008,349.42651748657227
2024-05-12 20:30:00,1858.0,-444.4970703125,-6589.08508682251,-66097.61429595947,27360.56319618225,-20789.055332027376
2024-05-12 21:00:00,-5872.419921875,3366.5528564453125,1035.041015625,11058.43845129013,-4690.976575732231,74499.99744796753
2024-05-12 21:30:00,2840.623046875,-2534.638671875,5680.83251953125,48813.138359069824,-38978.32739162445,-42206.33795595169
